,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
27,Patrick Bailey,25,SFG,82,0.375,141,0.346,0.197,3.70%,22.00%,9.80%,92.8,50.00%,39.30%,32.10%,25.00%,0.49,33.90%,44.60%,21.40%,0.1,0.10%,3.3,15%,100%,67%
28,David Bañuelos,27,BAL,1,0,-122,0,0,0.00%,0.00%,0.00%,87.3,0.00%,0.00%,0.00%,100.00%,0,0.00%,0.00%,100.00%,0,0.00%,-0.1,,,
29,Addison Barger,24,TOR,15,0.06,-81,0.091,0,0.00%,26.70%,0.00%,86.3,27.30%,9.10%,54.50%,27.30%,1.2,36.40%,45.50%,18.20%,-0.3,-0.20%,-3.2,100%,,100%
30,Austin Barnes,34,LAD,26,0.312,91,0.333,0,0.00%,23.10%,19.20%,87.9,40.00%,40.00%,26.70%,26.70%,0.36,20.00%,66.70%,13.30%,0,0.00%,0.1,10%,,25%
31,Tucker Barnhart,33,ARI,29,0.261,50,0.294,0.04,0.00%,27.60%,10.30%,75.9,22.20%,16.70%,72.20%,5.60%,3.25,27.80%,61.10%,11.10%,-0.3,-0.10%,-2.7,38%,100%,100%
32,Jorge Barrosa,23,ARI,10,0.219,28,0.222,0.1,0.00%,10.00%,0.00%,80.1,33.30%,22.20%,44.40%,11.10%,1,11.10%,77.80%,11.10%,-0.2,-0.10%,-2.1,50%,,
33,Joey Bart,27,PIT,35,0.413,165,0.25,0.345,8.60%,28.60%,17.10%,88.7,52.60%,10.50%,57.90%,26.30%,1.38,21.10%,63.20%,15.80%,-0.1,0.00%,1.6,10%,,100%
34,Matthew Batten,29,SDP,3,0.536,254,0.333,0.667,0.00%,0.00%,0.00%,85.6,33.30%,33.30%,66.70%,0.00%,2,0.00%,100.00%,0.00%,0.2,0.10%,0.6,0%,,
35,Brett Baty,24,NYM,91,0.3,89,0.303,0.06,1.10%,17.60%,7.70%,84.9,29.90%,17.90%,55.20%,22.40%,1.23,28.40%,52.20%,19.40%,-0.5,-0.30%,-2.4,29%,,55%
36,Jake Bauers,28,MIL,64,0.276,73,0.294,0.183,3.10%,37.50%,4.70%,91,41.70%,33.30%,22.20%,33.30%,0.29,38.90%,47.20%,13.90%,-0.2,-0.10%,0,43%,50%,33%
37,Josh Bell,31,MIA,127,0.275,64,0.188,0.107,2.40%,18.90%,9.50%,90,39.10%,13.60%,54.50%,27.30%,1.2,31.80%,51.10%,17.00%,-0.3,-0.10%,-4.7,40%,,18%
38,Cody Bellinger,28,CHC,97,0.325,99,0.215,0.214,5.20%,15.50%,11.30%,88.7,37.10%,20.00%,27.10%,47.10%,0.37,37.10%,44.30%,18.60%,0.5,0.30%,5.2,19%,,0%
39,Andrew Benintendi,29,CHW,106,0.227,40,0.244,0.078,1.90%,20.80%,3.80%,87.3,28.80%,18.80%,40.00%,36.30%,0.7,41.30%,46.30%,12.50%,-0.3,-0.30%,-5.8,17%,0%,50%
40,Will Benson,26,CIN,110,0.325,97,0.327,0.232,3.60%,39.10%,10.00%,89.2,48.20%,28.60%,33.90%,35.70%,0.51,42.90%,41.10%,16.10%,0,0.00%,-3.7,25%,71%,43%
41,Jon Berti,34,NYY,21,0.21,20,0.308,0,0.00%,28.60%,4.80%,73.5,21.40%,28.60%,35.70%,14.30%,0.63,28.60%,28.60%,42.90%,-0.1,-0.10%,-1.9,40%,,50%
42,Christian Bethancourt,32,MIA,31,0.052,-90,0.048,0,0.00%,29.00%,3.20%,89,47.60%,4.80%,52.40%,38.10%,1.1,9.50%,76.20%,14.30%,-0.8,-0.20%,-7.7,100%,,50%
43,Mookie Betts,31,LAD,146,0.499,212,0.392,0.262,4.10%,9.60%,16.40%,91.7,47.20%,38.00%,23.10%,32.40%,0.3,21.30%,62.00%,16.70%,1.5,1.00%,24.1,36%,100%,32%
44,Bo Bichette,26,TOR,114,0.262,63,0.241,0.095,0.90%,15.80%,6.10%,88,37.50%,18.20%,51.10%,25.00%,1.05,17.00%,51.10%,31.80%,-0.8,-0.50%,-6.8,28%,75%,50%
45,Cavan Biggio,29,TOR,85,0.322,106,0.349,0.1,1.20%,30.60%,10.60%,82.5,22.70%,22.70%,38.60%,20.50%,0.63,34.10%,50.00%,15.90%,-0.1,-0.10%,-0.4,21%,100%,50%
