,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
118,Jarren Duran,27,BOS,137,0.326,96,0.326,0.122,0.70%,22.60%,8.00%,88.5,36.60%,30.10%,47.30%,17.20%,0.92,26.10%,52.20%,21.70%,0.4,0.20%,1.7,37%,89%,36%
119,Adam Duvall,35,ATL,49,0.332,104,0.276,0.19,4.10%,24.50%,10.20%,89.6,45.20%,19.40%,35.50%,29.00%,0.55,38.70%,45.20%,16.10%,-0.1,-0.10%,0.1,36%,,25%
120,Christian Encarnacion-Strand,24,CIN,108,0.236,36,0.254,0.118,1.90%,28.70%,2.80%,88.8,40.30%,15.10%,47.90%,24.70%,0.92,32.90%,46.60%,20.50%,-0.3,-0.20%,-7.4,50%,,50%
121,Santiago Espinal,29,CIN,73,0.249,34,0.204,0.066,1.40%,13.70%,8.20%,86,29.80%,17.50%,47.40%,22.80%,0.96,24.60%,50.90%,24.60%,-0.3,-0.20%,-1,18%,100%,75%
122,Thairo Estrada,28,SFG,106,0.289,82,0.274,0.186,3.80%,24.50%,2.80%,88.3,40.30%,20.80%,48.10%,24.70%,0.93,32.50%,53.20%,14.30%,-0.3,-0.20%,-3,35%,,43%
123,Stuart Fairchild,28,CIN,64,0.257,42,0.244,0.018,0.00%,18.80%,7.80%,83,32.60%,19.60%,41.30%,19.60%,0.76,32.60%,56.50%,10.90%,-0.4,-0.20%,-4,35%,83%,67%
124,Kyle Farmer,33,MIN,64,0.211,20,0.15,0.056,0.00%,21.90%,12.50%,83.1,17.50%,17.50%,57.50%,22.50%,1.35,20.00%,65.00%,15.00%,-0.9,-0.40%,-7.7,38%,100%,80%
125,Freddy Fermin,29,KCR,47,0.286,78,0.237,0.091,2.10%,10.60%,6.40%,88.6,33.30%,10.30%,46.20%,25.60%,0.86,30.80%,48.70%,20.50%,-0.1,0.00%,-1.3,42%,,67%
126,Tyler Fitzgerald,26,SFG,34,0.406,155,0.474,0.25,2.90%,35.30%,2.90%,88.2,30.00%,40.00%,20.00%,35.00%,0.25,40.00%,35.00%,25.00%,0,0.00%,0.6,46%,80%,60%
127,David Fletcher,30,ATL,9,0.193,7,0.25,0,0.00%,11.10%,0.00%,80.7,0.00%,12.50%,62.50%,25.00%,1.67,37.50%,50.00%,12.50%,0,0.00%,-0.7,0%,,
128,Dominic Fletcher,26,CHW,66,0.254,55,0.308,0.068,0.00%,30.30%,6.10%,84.3,30.00%,25.00%,35.00%,32.50%,0.56,22.50%,52.50%,25.00%,-0.5,-0.20%,-3.4,17%,,0%
129,Wilmer Flores,32,SFG,78,0.28,76,0.254,0.061,0.00%,11.50%,11.50%,86.1,28.80%,32.20%,37.30%,20.30%,0.59,30.50%,52.50%,16.90%,0,0.00%,-1.6,24%,,25%
130,Estevan Florial,26,CLE,52,0.326,116,0.364,0.222,3.90%,40.40%,11.50%,83.5,44.00%,20.00%,52.00%,12.00%,1.18,44.00%,44.00%,12.00%,0,0.00%,2.9,14%,50%,0%
131,Nick Fortes,27,MIA,60,0.149,-19,0.143,0.036,0.00%,11.70%,3.30%,83.1,26.00%,18.00%,54.00%,16.00%,1.29,36.00%,50.00%,14.00%,-0.5,-0.10%,-5,20%,0%,0%
132,Justin Foscue,25,TEX,2,0.451,198,0.5,0,0.00%,0.00%,0.00%,89.3,0.00%,0.00%,50.00%,50.00%,1,0.00%,100.00%,0.00%,0.1,0.00%,0.7,0%,,
133,Jake Fraley,29,CIN,64,0.351,120,0.381,0.121,1.60%,23.40%,9.40%,83,23.30%,20.90%,51.20%,23.30%,1.05,39.50%,48.80%,11.60%,-0.1,0.00%,2.6,59%,63%,44%
134,Ty France,29,SEA,100,0.291,89,0.299,0.11,2.00%,23.00%,8.00%,91.1,50.70%,29.00%,44.90%,23.20%,0.82,14.50%,65.20%,20.30%,-0.6,-0.30%,-3.5,25%,,50%
135,Adam Frazier,32,KCR,77,0.26,57,0.231,0.031,0.00%,16.90%,11.70%,83.3,25.00%,26.90%,48.10%,19.20%,0.93,30.80%,53.80%,15.40%,-0.6,-0.40%,-2.2,25%,100%,40%
136,Freddie Freeman,34,LAD,139,0.381,141,0.364,0.125,1.40%,17.30%,15.80%,88.6,41.10%,33.30%,33.30%,33.30%,0.5,30.00%,51.10%,18.90%,0.5,0.30%,5.5,23%,50%,53%
137,Tyler Freeman,25,CLE,91,0.325,118,0.23,0.165,3.30%,17.60%,8.80%,91.3,53.10%,23.40%,43.80%,26.60%,0.78,28.10%,50.00%,21.90%,0.1,0.10%,-0.2,44%,50%,30%
138,Sal Frelick,24,MIL,111,0.327,106,0.351,0.051,0.00%,22.50%,9.90%,85.6,24.30%,31.10%,45.90%,14.90%,0.85,23.00%,62.20%,14.90%,0,0.00%,0.3,40%,67%,40%
139,David Fry,28,CLE,59,0.397,163,0.387,0.136,1.70%,23.70%,17.00%,88.7,43.80%,25.00%,40.60%,31.30%,0.68,37.50%,40.60%,21.90%,0.6,0.40%,4.9,28%,100%,33%
140,Joey Gallo,30,WSN,91,0.283,76,0.214,0.189,3.30%,47.30%,16.50%,90.4,38.70%,22.60%,9.70%,35.50%,0.11,35.50%,45.20%,19.40%,-0.6,-0.30%,-5.6,22%,100%,50%
141,Adolis García,31,TEX,114,0.398,157,0.319,0.301,7.00%,24.60%,7.00%,93.3,54.50%,19.50%,39.00%,35.10%,0.64,24.70%,59.70%,15.60%,0.4,0.20%,7.1,36%,80%,46%
142,Avisaíl García,33,MIA,51,0.276,65,0.286,0.14,3.90%,25.50%,2.00%,86.6,29.70%,10.80%,64.90%,21.60%,1.85,21.60%,67.60%,10.80%,-0.7,-0.30%,-6.2,18%,,33%
143,Luis García Jr.,24,WSN,87,0.343,110,0.354,0.122,1.20%,18.40%,5.80%,89.9,50.00%,22.70%,53.00%,19.70%,1.13,21.20%,59.10%,19.70%,0.2,0.10%,1.8,11%,100%,29%
144,Maikel Garcia,24,KCR,128,0.314,89,0.25,0.162,3.10%,18.00%,7.00%,91.4,46.90%,27.10%,45.80%,19.80%,0.85,19.80%,57.30%,22.90%,-0.6,-0.40%,2,31%,100%,60%
145,Mitch Garver,33,SEA,94,0.263,69,0.184,0.163,3.20%,30.90%,11.70%,90,38.50%,19.20%,42.30%,26.90%,0.73,46.20%,40.40%,13.50%,0.3,0.20%,-5.4,23%,,100%
146,Zack Gelof,24,OAK,101,0.278,78,0.268,0.141,3.00%,32.70%,6.90%,88.9,36.70%,16.70%,56.70%,21.70%,1.36,26.70%,51.70%,21.70%,-0.6,-0.30%,-5.4,35%,80%,43%
147,Andrés Giménez,25,CLE,117,0.321,106,0.326,0.069,0.00%,15.40%,4.30%,83.4,25.60%,25.30%,50.60%,18.40%,1.07,37.90%,41.40%,20.70%,0.4,0.30%,3.3,38%,80%,46%
148,Paul Goldschmidt,36,STL,117,0.285,72,0.297,0.079,1.70%,29.90%,11.10%,89.3,39.40%,30.30%,36.40%,24.20%,0.57,27.30%,51.50%,21.20%,-0.2,-0.10%,-2.1,30%,100%,44%
149,Yan Gomes,36,CHC,43,0.246,44,0.296,0.093,2.30%,34.90%,0.00%,84.7,35.70%,32.10%,32.10%,32.10%,0.47,14.30%,60.70%,25.00%,-0.3,-0.20%,-4.6,25%,,67%
150,Romy Gonzalez,27,BOS,5,0.318,98,0.333,0,0.00%,20.00%,20.00%,91.7,66.70%,33.30%,66.70%,0.00%,2,0.00%,66.70%,33.30%,0,0.00%,0.4,50%,,100%
151,Hunter Goodman,24,COL,10,0.277,59,0,0.333,10.00%,50.00%,10.00%,87,25.00%,0.00%,50.00%,50.00%,1,25.00%,50.00%,25.00%,-0.2,0.00%,-0.5,0%,,
152,Niko Goodrum,32,TBR,14,0.223,63,0.429,0,0.00%,35.70%,7.10%,82.9,25.00%,25.00%,62.50%,0.00%,2.5,37.50%,50.00%,12.50%,-0.3,-0.20%,-2.1,25%,0%,
153,Nick Gordon,28,MIA,68,0.258,50,0.191,0.172,4.40%,22.10%,4.40%,86.7,32.70%,22.00%,52.00%,24.00%,1.08,44.00%,44.00%,12.00%,-0.1,0.10%,-1.6,17%,100%,33%
154,Nolan Gorman,24,STL,104,0.272,69,0.263,0.177,3.90%,33.70%,7.70%,86.1,37.70%,29.50%,36.10%,26.20%,0.56,27.90%,62.30%,9.80%,-0.6,-0.30%,-7.3,13%,0%,20%
155,Riley Greene,23,DET,120,0.382,148,0.29,0.219,4.20%,25.00%,19.20%,91.4,43.30%,25.40%,44.80%,26.90%,0.81,29.90%,58.20%,11.90%,0.8,0.50%,9.2,42%,,44%
156,Randal Grichuk,32,ARI,50,0.323,101,0.282,0.159,2.00%,12.00%,6.00%,88.9,37.50%,17.50%,40.00%,30.00%,0.67,30.00%,57.50%,12.50%,0.1,0.10%,0.4,33%,,0%
157,Trent Grisham,27,NYY,25,0.214,40,0.071,0.15,4.00%,20.00%,16.00%,84.6,25.00%,0.00%,26.70%,46.70%,0.4,33.30%,66.70%,0.00%,-0.1,-0.10%,-2.8,0%,0%,
158,Robbie Grossman,34,CHW,68,0.289,79,0.282,0.018,0.00%,25.00%,17.70%,87.3,25.60%,28.20%,38.50%,25.60%,0.63,28.20%,53.80%,17.90%,-0.6,-0.20%,-3.1,17%,100%,14%
159,Vladimir Guerrero Jr.,25,TOR,132,0.319,106,0.274,0.123,2.30%,20.50%,12.90%,93.4,54.70%,21.80%,50.60%,19.50%,1.02,23.00%,54.00%,23.00%,0,0.00%,-4.1,20%,,0%
160,Luis Guillorme,29,ATL,20,0.204,15,0.214,0.105,0.00%,25.00%,5.00%,85,7.10%,21.40%,57.10%,21.40%,1.33,21.40%,50.00%,28.60%,-0.2,-0.10%,-1,50%,,100%
161,Lourdes Gurriel Jr.,30,ARI,125,0.337,108,0.286,0.179,4.00%,16.80%,6.40%,88.3,43.80%,27.10%,37.50%,28.10%,0.6,28.10%,50.00%,21.90%,-0.1,0.00%,0.7,41%,100%,50%
162,Sam Haggerty,30,SEA,2,0,-122,0,0,0.00%,0.00%,0.00%,72.4,0.00%,0.00%,100.00%,0.00%,,50.00%,0.00%,50.00%,-0.1,0.00%,-0.4,,,
163,David Hamilton,26,BOS,42,0.287,67,0.292,0.105,2.40%,31.00%,7.10%,86.6,36.00%,28.00%,40.00%,28.00%,0.71,28.00%,60.00%,12.00%,-0.2,-0.10%,-2.1,46%,100%,67%
164,Garrett Hampson,29,KCR,34,0.227,20,0.368,0.03,0.00%,41.20%,2.90%,79.3,21.10%,26.30%,21.10%,36.80%,0.31,26.30%,36.80%,36.80%,-0.4,-0.20%,-3.7,50%,100%,57%
165,Mitch Haniger,33,SEA,106,0.312,104,0.295,0.165,3.80%,30.20%,8.50%,87.4,43.10%,21.50%,43.10%,32.30%,0.76,26.20%,61.50%,12.30%,-0.5,-0.30%,0.5,26%,,29%
166,Ian Happ,29,CHC,116,0.307,86,0.304,0.101,0.90%,25.00%,13.80%,91.1,35.70%,25.70%,44.30%,22.90%,0.79,37.10%,45.70%,17.10%,0.6,0.30%,2.3,40%,,58%
167,Bryce Harper,31,PHI,114,0.339,118,0.254,0.237,5.30%,21.90%,14.00%,90.3,47.90%,23.30%,45.20%,30.10%,0.83,35.60%,50.70%,13.70%,-0.6,-0.30%,-2.2,21%,33%,29%
168,Michael Harris II,23,ATL,117,0.357,124,0.378,0.153,2.60%,22.20%,5.10%,90.2,44.70%,23.50%,55.30%,16.50%,1.27,44.70%,44.70%,10.60%,0.3,0.20%,2.4,35%,63%,27%
169,Ke'Bryan Hayes,27,PIT,120,0.348,120,0.333,0.087,0.80%,16.70%,10.80%,88.4,42.90%,24.70%,51.80%,15.30%,1.07,15.30%,60.00%,24.70%,0.3,0.20%,-0.4,28%,,47%
170,Austin Hays,28,BAL,50,0.147,-18,0.147,0,0.00%,22.00%,8.00%,87.1,39.40%,23.50%,50.00%,23.50%,1,23.50%,67.60%,8.80%,-0.7,-0.40%,-4.9,40%,,0%
171,Austin Hedges,31,CLE,28,0.147,-23,0.167,0.037,0.00%,35.70%,0.00%,76.8,11.10%,16.70%,33.30%,27.80%,0.5,27.80%,55.60%,16.70%,-0.2,-0.20%,-4.9,33%,100%,100%
172,Jonah Heim,29,TEX,91,0.305,90,0.308,0.136,3.30%,22.00%,2.20%,89,36.80%,23.50%,36.80%,33.80%,0.58,38.20%,44.10%,17.60%,-0.1,0.00%,-0.2,22%,100%,17%
173,Tyler Heineman,33,BOS,2,0.361,129,0,0,0.00%,0.00%,0.00%,85.4,0.00%,0.00%,0.00%,100.00%,0,0.00%,100.00%,0.00%,0,0.00%,0.3,0%,,
174,Gunnar Henderson,23,BAL,128,0.428,180,0.311,0.342,7.80%,25.00%,5.50%,95.6,60.70%,23.80%,39.30%,29.80%,0.65,29.80%,52.40%,17.90%,0.2,0.10%,6.1,43%,100%,56%
175,Darell Hernaiz,22,OAK,50,0.212,31,0.226,0,0.00%,26.00%,12.00%,85.9,38.70%,22.60%,61.30%,12.90%,1.58,9.70%,77.40%,12.90%,-0.1,-0.10%,-2.8,39%,100%,25%
176,Enrique Hernández,32,LAD,66,0.277,67,0.269,0.065,1.50%,15.20%,4.60%,91.8,50.90%,26.40%,37.70%,32.10%,0.61,20.80%,64.20%,15.10%,-0.3,-0.20%,-4.3,18%,,50%
177,Teoscar Hernández,31,LAD,130,0.357,121,0.362,0.203,4.60%,33.10%,7.70%,92.3,53.30%,26.70%,46.70%,21.30%,0.88,25.30%,54.70%,20.00%,-0.2,-0.20%,-0.1,39%,75%,46%
178,Iván Herrera,24,STL,62,0.274,67,0.2,0.164,4.80%,22.60%,6.50%,92.1,47.60%,18.60%,41.90%,37.20%,0.72,25.60%,58.10%,16.30%,-0.1,0.00%,-4.8,31%,,67%
179,Jason Heyward,34,LAD,15,0.183,2,0.214,0,0.00%,6.70%,0.00%,83.4,30.80%,7.10%,42.90%,28.60%,0.75,50.00%,35.70%,14.30%,-0.3,-0.20%,-1.5,100%,,50%
180,Aaron Hicks,34,LAA,63,0.197,13,0.212,0.053,1.60%,36.50%,9.50%,87.5,36.40%,17.60%,58.80%,14.70%,1.43,55.90%,26.50%,17.60%,-0.4,-0.20%,-6,39%,,67%
181,Kyle Higashioka,34,SDP,25,0.207,25,0.25,0.16,4.00%,48.00%,0.00%,87.3,23.10%,15.40%,46.20%,30.80%,0.86,46.20%,38.50%,15.40%,-0.5,-0.30%,-5.3,33%,,50%
182,Nico Hoerner,27,CHC,121,0.32,100,0.302,0.084,0.00%,9.90%,8.30%,86.6,32.30%,33.30%,41.70%,17.70%,0.71,16.70%,53.10%,30.20%,0.7,0.40%,-0.6,43%,33%,55%
183,Jackson Holliday,20,BAL,36,0.114,-39,0.125,0,0.00%,50.00%,5.60%,87.3,37.50%,12.50%,62.50%,25.00%,1.67,50.00%,37.50%,12.50%,-0.4,-0.30%,-5.9,125%,,60%
184,Rhys Hoskins,31,MIL,109,0.354,122,0.227,0.234,5.50%,21.10%,10.10%,88.2,37.50%,25.00%,27.80%,37.50%,0.38,41.70%,40.30%,18.10%,-0.1,0.00%,-2.6,21%,100%,20%
185,Andy Ibáñez,31,DET,17,0.206,21,0.364,0,0.00%,35.30%,0.00%,84,27.30%,45.50%,36.40%,18.20%,0.57,45.50%,36.40%,18.20%,0,0.00%,-1.6,25%,,0%
186,Jonathan India,27,CIN,106,0.332,100,0.284,0.08,0.90%,19.80%,14.20%,86.8,34.30%,32.40%,47.10%,14.70%,0.89,26.50%,55.90%,17.60%,0.3,0.10%,4.4,28%,100%,57%
187,Kyle Isbel,27,KCR,85,0.313,91,0.238,0.163,3.50%,16.50%,3.50%,88.9,37.30%,16.40%,50.70%,25.40%,1.06,38.80%,46.30%,14.90%,-0.1,-0.10%,0.7,37%,100%,57%
188,Travis Jankowski,33,TEX,23,0.275,70,0.167,0.19,4.40%,8.70%,8.70%,82,21.10%,15.80%,52.60%,26.30%,1.25,26.30%,57.90%,15.80%,0,0.00%,-1.7,20%,,0%
189,Danny Jansen,29,TOR,31,0.426,184,0.25,0.346,6.50%,12.90%,16.10%,90.9,45.50%,31.80%,13.60%,45.50%,0.16,31.80%,59.10%,9.10%,0,0.00%,1.4,20%,,50%
190,Ryan Jeffers,27,MIN,101,0.416,175,0.308,0.247,5.00%,16.80%,6.90%,84.2,31.40%,20.00%,42.90%,31.40%,0.75,28.60%,58.60%,12.90%,1.4,0.60%,12.1,27%,,40%
191,Eloy Jiménez,27,CHW,68,0.317,99,0.279,0.161,4.40%,23.50%,8.80%,89,43.50%,23.90%,54.30%,13.00%,1.19,39.10%,54.30%,6.50%,-0.6,-0.30%,-1.7,28%,100%,44%
192,Connor Joe,31,PIT,96,0.364,128,0.328,0.165,2.10%,16.70%,10.40%,83.3,33.30%,20.30%,49.30%,18.80%,0.97,34.80%,50.70%,14.50%,0.4,0.30%,4.9,42%,100%,60%
193,Jahmai Jones,26,NYY,5,0.18,3,0.5,0,0.00%,60.00%,0.00%,83.3,0.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,-0.1,0.00%,0.2,100%,,
194,Nolan Jones,26,COL,103,0.252,41,0.268,0.106,1.00%,35.90%,8.70%,89.4,43.60%,17.50%,49.10%,26.30%,0.97,24.60%,56.10%,19.30%,-0.5,-0.20%,-6.5,42%,67%,56%
195,Aaron Judge,32,NYY,137,0.344,120,0.254,0.212,4.40%,27.00%,16.10%,94.7,54.50%,22.10%,37.70%,32.50%,0.6,20.80%,55.80%,23.40%,-0.3,-0.20%,-0.7,15%,100%,22%
196,Edouard Julien,25,MIN,104,0.374,143,0.275,0.289,6.70%,30.80%,12.50%,90.6,43.10%,13.80%,39.70%,46.60%,0.66,27.60%,50.00%,22.40%,0.2,0.10%,2.4,32%,100%,57%
197,Josh Jung,26,TEX,19,0.599,295,0.455,0.529,10.50%,21.10%,10.50%,86.6,46.20%,23.10%,46.20%,30.80%,0.86,23.10%,53.80%,23.10%,0.1,0.10%,3.7,43%,100%,0%
198,Colt Keith,22,DET,95,0.208,19,0.2,0.011,0.00%,17.90%,8.40%,88.1,31.40%,27.10%,47.10%,21.40%,0.89,42.00%,49.30%,8.70%,-0.5,-0.30%,-8.6,23%,100%,33%
199,Jarred Kelenic,24,ATL,68,0.331,108,0.475,0.065,0.00%,32.40%,8.80%,88.1,45.00%,37.50%,42.50%,17.50%,0.74,20.00%,67.50%,12.50%,-0.3,-0.30%,-4.8,28%,0%,67%
200,Carson Kelly,29,DET,46,0.236,42,0.235,0.091,2.20%,19.60%,4.40%,92.3,57.10%,22.90%,45.70%,20.00%,0.84,25.70%,57.10%,17.10%,-0.3,-0.20%,-3.3,30%,,67%
201,Tony Kemp,32,BAL,10,0.069,-72,0,0,0.00%,10.00%,10.00%,76.2,12.50%,12.50%,37.50%,12.50%,0.75,50.00%,25.00%,25.00%,-0.3,-0.20%,-2.2,100%,,
202,Buddy Kennedy,25,DET,13,0.355,115,0.167,0.3,7.70%,30.80%,15.40%,91.8,57.10%,42.90%,14.30%,42.90%,0.17,14.30%,85.70%,0.00%,0.2,0.10%,1.8,33%,100%,0%
203,Max Kepler,31,MIN,44,0.314,101,0.281,0.122,2.30%,18.20%,6.80%,89.2,36.40%,21.20%,24.20%,36.40%,0.32,33.30%,42.40%,24.20%,0.1,-0.10%,1.2,25%,,40%
204,Grae Kessinger,26,HOU,10,0,-125,0,0,0.00%,40.00%,0.00%,75.3,16.70%,16.70%,66.70%,16.70%,2,33.30%,50.00%,16.70%,-0.1,0.00%,-4.2,,,0%
205,Kevin Kiermaier,34,TOR,62,0.235,38,0.282,0.035,0.00%,29.00%,6.50%,82.9,27.50%,20.00%,62.50%,10.00%,1.92,30.00%,55.00%,15.00%,-0.3,-0.20%,-4.4,33%,100%,0%
206,Ha-Seong Kim,28,SDP,133,0.322,99,0.235,0.179,3.00%,18.10%,14.30%,84.9,30.00%,23.30%,35.60%,25.60%,0.57,17.80%,54.40%,27.80%,-0.3,-0.20%,1.8,36%,88%,36%
207,Isiah Kiner-Falefa,29,TOR,86,0.303,91,0.302,0.101,1.20%,17.40%,7.00%,84.4,26.60%,31.30%,42.20%,25.00%,0.73,17.20%,64.10%,18.80%,-0.5,-0.30%,-2.6,23%,100%,50%
208,Alex Kirilloff,26,MIN,90,0.333,115,0.323,0.188,1.10%,21.10%,7.80%,92.6,44.40%,17.50%,49.20%,28.60%,0.97,31.70%,50.80%,17.50%,0,0.00%,0.8,36%,,50%
209,Alejandro Kirk,25,TOR,74,0.262,65,0.222,0.063,1.40%,13.50%,12.20%,88.4,32.70%,25.50%,45.50%,16.40%,0.83,18.20%,45.50%,36.40%,-0.4,-0.20%,-4.5,5%,,0%
210,Heston Kjerstad,25,BAL,5,0,-122,0,0,0.00%,60.00%,0.00%,71.5,0.00%,50.00%,50.00%,0.00%,1,0.00%,50.00%,50.00%,-0.2,-0.10%,-1.3,,,
211,Andrew Knizner,29,TEX,26,0.184,5,0.118,0.115,3.90%,30.80%,0.00%,87.5,38.90%,22.20%,44.40%,22.20%,0.8,27.80%,55.60%,16.70%,-0.1,-0.10%,-2.7,50%,,
212,Steven Kwan,26,CLE,124,0.36,138,0.356,0.119,2.40%,8.90%,4.80%,81.9,16.00%,31.80%,33.60%,24.30%,0.55,18.70%,58.90%,22.40%,-0.1,-0.10%,2,51%,60%,52%
213,Shea Langeliers,26,OAK,97,0.267,77,0.143,0.23,6.20%,21.70%,6.20%,91.7,43.50%,23.20%,36.20%,27.50%,0.57,30.40%,55.10%,14.50%,-0.3,-0.10%,-7.5,19%,0%,33%
214,Wyatt Langford,22,TEX,114,0.295,86,0.312,0.079,0.90%,21.10%,9.70%,87.6,36.40%,19.20%,39.70%,30.80%,0.66,17.90%,60.30%,21.80%,-0.5,-0.30%,-3.9,33%,50%,60%
215,Trevor Larnach,27,MIN,34,0.464,210,0.429,0.276,5.90%,20.60%,11.80%,92.7,47.80%,39.10%,26.10%,21.70%,0.35,43.50%,39.10%,17.40%,0.2,0.10%,3,39%,,44%
216,Ramón Laureano,29,CLE,63,0.272,70,0.258,0.059,0.00%,33.30%,9.50%,90.1,38.70%,29.00%,38.70%,25.80%,0.63,35.50%,45.20%,19.40%,0,0.00%,-3,26%,75%,40%
217,Jung Hoo Lee,25,SFG,117,0.318,109,0.277,0.087,1.70%,8.60%,8.60%,90.6,47.40%,28.10%,50.00%,16.70%,1,29.20%,58.30%,12.50%,-0.1,-0.10%,-2.5,30%,40%,50%
218,Korey Lee,25,CHW,54,0.314,96,0.289,0.157,3.70%,20.40%,5.60%,81.8,25.00%,15.00%,47.50%,25.00%,0.95,25.00%,60.00%,15.00%,-0.5,-0.10%,-3.1,21%,100%,0%
219,Royce Lewis,25,MIN,2,1.492,954,1,1.5,50.00%,0.00%,0.00%,93.1,50.00%,50.00%,0.00%,50.00%,0,50.00%,50.00%,0.00%,0.1,0.10%,1.2,0%,,0%
220,Francisco Lindor,30,NYM,128,0.301,92,0.193,0.168,3.90%,16.40%,9.40%,87.3,40.70%,18.30%,43.00%,30.10%,0.75,31.20%,52.70%,16.10%,-0.4,-0.10%,-6.5,32%,60%,88%
221,Trey Lipscomb,24,WSN,78,0.318,96,0.321,0.058,1.30%,16.70%,6.40%,85.2,33.30%,17.50%,63.20%,12.30%,1.71,12.30%,59.60%,28.10%,-0.3,-0.10%,-2,48%,83%,39%
222,Nick Loftin,25,KCR,35,0.331,111,0.32,0,0.00%,14.30%,14.30%,82.4,24.00%,28.00%,32.00%,36.00%,0.47,8.00%,68.00%,24.00%,0.2,0.10%,1.6,54%,,50%
223,Nicky Lopez,29,CHW,93,0.261,74,0.246,0.013,0.00%,10.80%,9.70%,84.1,20.50%,16.40%,49.30%,21.90%,1.09,24.70%,56.20%,19.20%,-0.4,-0.10%,-4.6,26%,20%,44%
224,Otto Lopez,25,MIA,15,0.382,139,0.25,0.2,6.70%,13.30%,0.00%,88.9,46.20%,23.10%,61.50%,7.70%,1.6,23.10%,61.50%,15.40%,-0.3,-0.10%,-0.6,67%,,50%
225,Brandon Lowe,29,TBR,30,0.268,71,0.211,0.148,3.30%,23.30%,6.70%,90.9,30.00%,25.00%,40.00%,30.00%,0.67,25.00%,65.00%,10.00%,-0.2,-0.10%,-2.7,29%,,50%
226,Nathaniel Lowe,28,TEX,32,0.395,157,0.381,0.138,3.10%,21.90%,9.40%,87.3,36.40%,31.80%,54.50%,13.60%,1.2,31.80%,40.90%,27.30%,-0.3,-0.20%,-1.2,36%,,50%
227,Gavin Lux,26,LAD,81,0.23,32,0.25,0.027,0.00%,23.50%,7.40%,85.8,34.50%,14.30%,58.90%,19.60%,1.43,39.30%,50.00%,10.70%,-0.3,-0.20%,-4.8,50%,100%,58%
228,Manny Machado,31,SDP,120,0.315,101,0.304,0.135,3.30%,23.30%,7.50%,91.3,51.80%,21.70%,50.60%,21.70%,1.02,25.30%,49.40%,25.30%,-0.2,-0.10%,-1.7,33%,,42%
229,Nick Madrigal,27,CHC,35,0.249,42,0.226,0.061,0.00%,5.70%,2.90%,88.1,19.40%,25.80%,58.10%,12.90%,1.38,25.80%,51.60%,22.60%,-0.2,-0.10%,-3.6,44%,100%,67%
230,Luke Maile,33,CIN,41,0.258,52,0.208,0.111,2.40%,26.80%,9.80%,85.3,32.00%,32.00%,36.00%,28.00%,0.56,48.00%,48.00%,4.00%,-0.3,-0.20%,-3.3,30%,,67%
231,Martín Maldonado,37,CHW,52,0.142,-28,0.097,0.083,1.90%,30.80%,5.80%,86.6,36.40%,9.10%,33.30%,39.40%,0.52,39.40%,51.50%,9.10%,-0.6,-0.20%,-5.9,17%,,0%
232,Manuel Margot,29,MIN,61,0.238,46,0.211,0.075,1.60%,24.60%,11.50%,83,35.90%,25.60%,38.50%,23.10%,0.68,15.40%,61.50%,23.10%,-0.8,-0.40%,-7.4,33%,,67%
233,Brandon Marsh,26,PHI,98,0.377,133,0.352,0.247,6.10%,31.60%,7.10%,94,60.00%,30.00%,40.00%,28.30%,0.67,28.30%,53.30%,18.30%,0.1,0.10%,3.4,15%,100%,50%
234,Ketel Marte,30,ARI,135,0.405,157,0.34,0.21,3.70%,17.80%,8.90%,93.3,54.10%,20.20%,53.50%,22.20%,1.15,34.30%,52.50%,13.10%,1.3,0.70%,9.4,41%,100%,62%
235,Starling Marte,35,NYM,111,0.379,135,0.342,0.154,3.60%,21.60%,5.40%,88.2,46.90%,27.20%,46.90%,18.50%,0.97,23.50%,61.70%,14.80%,0.1,0.10%,2.7,38%,100%,54%
236,Austin Martin,25,MIN,68,0.315,97,0.265,0.145,1.50%,17.70%,8.80%,87.2,32.00%,28.00%,42.00%,24.00%,0.72,40.00%,44.00%,16.00%,0.1,0.10%,1.7,79%,100%,33%
237,J.D. Martinez,36,NYM,13,0.31,96,0.5,0.077,0.00%,38.50%,0.00%,88,37.50%,12.50%,37.50%,37.50%,0.6,37.50%,25.00%,37.50%,-0.1,-0.10%,-0.5,0%,,
238,Nick Martini,34,CIN,75,0.292,80,0.229,0.176,4.00%,26.70%,2.70%,86.9,37.30%,23.50%,41.20%,27.50%,0.7,35.30%,49.00%,15.70%,0,0.00%,1.1,71%,0%,60%
239,Michael Massey,26,KCR,29,0.223,33,0.222,0.034,0.00%,6.90%,0.00%,87.1,29.60%,18.50%,55.60%,22.20%,1.25,37.00%,63.00%,0.00%,-0.2,-0.10%,-0.9,67%,,50%
240,Miles Mastrobuoni,28,CHC,13,0.054,-89,0,0,0.00%,23.10%,7.70%,90.4,33.30%,11.10%,55.60%,22.20%,1.25,44.40%,33.30%,22.20%,-0.6,-0.30%,-3.6,200%,,100%
